season,game_id,kickoff_utc,home_team,away_team,sportsbook_key,selection,spread,american_odds,captured_at_utc,market_last_update_utc,projected_home_margin,actual_home_margin,selection_result,one_unit_profit,cfbd_game_id
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,mybookieag,Navy Midshipmen,-6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:28:56Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,mybookieag,UAB Blazers,6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:28:56Z,-0.5992618330635358,4.0,win,0.909091,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betrivers,Navy Midshipmen,-7.0,-113.0,2026-09-25T20:31:05Z,2026-09-25T20:30:34Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betrivers,UAB Blazers,7.0,-109.0,2026-09-25T20:31:05Z,2026-09-25T20:30:34Z,-0.5992618330635358,4.0,win,0.917431,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,draftkings,Navy Midshipmen,-6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:30:32Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,draftkings,UAB Blazers,6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:30:32Z,-0.5992618330635358,4.0,win,0.909091,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,lowvig,Navy Midshipmen,-6.5,-111.0,2026-09-25T20:31:05Z,2026-09-25T20:30:32Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,lowvig,UAB Blazers,6.5,-101.0,2026-09-25T20:31:05Z,2026-09-25T20:30:32Z,-0.5992618330635358,4.0,win,0.990099,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betonlineag,Navy Midshipmen,-6.5,-115.0,2026-09-25T20:31:05Z,2026-09-25T20:30:30Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betonlineag,UAB Blazers,6.5,-105.0,2026-09-25T20:31:05Z,2026-09-25T20:30:30Z,-0.5992618330635358,4.0,win,0.952381,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betmgm,Navy Midshipmen,-6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:30:32Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betmgm,UAB Blazers,6.5,-108.0,2026-09-25T20:31:05Z,2026-09-25T20:30:32Z,-0.5992618330635358,4.0,win,0.925926,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betus,Navy Midshipmen,-6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:30:31Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,betus,UAB Blazers,6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:30:31Z,-0.5992618330635358,4.0,win,0.909091,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,bovada,Navy Midshipmen,-6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:28:28Z,-0.5992618330635358,4.0,loss,-1,401862778
2026,2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,bovada,UAB Blazers,6.5,-110.0,2026-09-25T20:31:05Z,2026-09-25T20:28:28Z,-0.5992618330635358,4.0,win,0.909091,401862778
